Frame 100 | Energy: 72.72 | RPE: -0.1289 | Torque: -1.00
Frame 200 | Energy: 100.00 | RPE: 0.0068 | Torque: 0.00
Frame 300 | Energy: 100.00 | RPE: -0.0004 | Torque: 0.00
Frame 400 | Energy: 100.00 | RPE: -0.0001 | Torque: 0.00
Frame 500 | Energy: 100.00 | RPE: 0.0000 | Torque: 0.00
Frame 600 | Energy: 100.00 | RPE: 0.0000 | Torque: 0.00
Frame 700 | Energy: 100.00 | RPE: 0.0156 | Torque: 0.00
Frame 800 | Energy: 100.00 | RPE: 0.0006 | Torque: 0.00
Frame 900 | Energy: 100.00 | RPE: 0.0000 | Torque: 0.00
Episode ended. Survived 999 frames. Energy: 100.00
Frame 100 | Energy: 100.00 | RPE: 0.0000 | Torque: 0.00
Frame 200 | Energy: 100.00 | RPE: 0.0092 | Torque: 0.00
Frame 300 | Energy: 100.00 | RPE: 0.0000 | Torque: 0.00
Frame 400 | Energy: 100.00 | RPE: 0.0000 | Torque: 0.00
Frame 500 | Energy: 100.00 | RPE: 0.0000 | Torque: 0.00
Frame 600 | Energy: 100.00 | RPE: 0.0000 | Torque: 0.00
Frame 700 | Energy: 100.00 | RPE: 0.0000 | Torque: 0.00
Frame 800 | Energy: 100.00 | RPE: 0.0000 | Torque: 0.00
Frame 900 | Energy: 100.00 | RPE: 0.0000 | Torque: 0.00
Frame 1000 | Energy: 100.00 | RPE: 0.0000 | Torque: 0.00
Episode ended. Survived 1000 frames. Energy: 100.00
Frame 100 | Energy: 100.00 | RPE: -0.0116 | Torque: 0.00
Frame 200 | Energy: 100.00 | RPE: 0.0001 | Torque: 0.00
Frame 300 | Energy: 100.00 | RPE: -0.0010 | Torque: 0.00
Frame 400 | Energy: 100.00 | RPE: -0.0000 | Torque: 0.00
Frame 500 | Energy: 100.00 | RPE: -0.0000 | Torque: 0.00
Frame 600 | Energy: 100.00 | RPE: -0.0000 | Torque: 0.00
Frame 700 | Energy: 100.00 | RPE: -0.0000 | Torque: 0.00
Frame 800 | Energy: 100.00 | RPE: -0.0000 | Torque: 0.00
Frame 900 | Energy: 100.00 | RPE: -0.0000 | Torque: 0.00
Frame 1000 | Energy: 100.00 | RPE: -0.0000 | Torque: 0.00
Episode ended. Survived 1000 frames. Energy: 100.00
Frame 100 | Energy: 100.00 | RPE: 0.0018 | Torque: 0.00
Frame 200 | Energy: 100.00 | RPE: 0.0005 | Torque: 0.00
Frame 300 | Energy: 100.00 | RPE: -0.0000 | Torque: 0.00
Frame 400 | Energy: 100.00 | RPE: -0.0044 | Torque: 0.00
Frame 500 | Energy: 100.00 | RPE: 0.0000 | Torque: 0.00
Frame 600 | Energy: 100.00 | RPE: -0.0008 | Torque: 0.00
Frame 700 | Energy: 100.00 | RPE: -0.0000 | Torque: 0.00
Frame 800 | Energy: 100.00 | RPE: 0.0000 | Torque: 0.00
Frame 900 | Energy: 100.00 | RPE: 0.0000 | Torque: 0.00
Frame 1000 | Energy: 100.00 | RPE: -0.0000 | Torque: 0.00
Episode ended. Survived 1000 frames. Energy: 100.00
Frame 100 | Energy: 100.00 | RPE: -0.0004 | Torque: 0.00
Frame 200 | Energy: 100.00 | RPE: -0.0009 | Torque: 0.00
Frame 100 | Energy: 87.82 | RPE: 0.0179 | Torque: -0.03
Frame 200 | Energy: 84.44 | RPE: 0.0049 | Torque: -0.00
Frame 300 | Energy: 82.31 | RPE: 0.0029 | Torque: -0.00
Frame 400 | Energy: 80.36 | RPE: -0.0002 | Torque: -0.00
Frame 500 | Energy: 77.57 | RPE: -0.0108 | Torque: -0.00
Frame 600 | Energy: 80.59 | RPE: 0.0094 | Torque: -0.00
Frame 700 | Energy: 80.86 | RPE: 0.0244 | Torque: 0.00
Frame 800 | Energy: 97.52 | RPE: -0.0002 | Torque: -0.00
Frame 900 | Energy: 95.03 | RPE: 0.3875 | Torque: 0.00
Episode ended. Survived 999 frames. Energy: 100.00
Frame 100 | Energy: 96.36 | RPE: 0.0026 | Torque: 0.00
Frame 200 | Energy: 100.00 | RPE: 0.0087 | Torque: -0.00
Frame 300 | Energy: 100.00 | RPE: 0.0487 | Torque: 0.00
Frame 400 | Energy: 100.00 | RPE: -0.0002 | Torque: 0.00
Frame 500 | Energy: 100.00 | RPE: 0.0000 | Torque: 0.00
Frame 600 | Energy: 100.00 | RPE: 0.0000 | Torque: 0.00
Frame 700 | Energy: 100.00 | RPE: -0.0000 | Torque: 0.00
Frame 800 | Energy: 100.00 | RPE: -0.0000 | Torque: 0.00
Frame 900 | Energy: 100.00 | RPE: -0.0000 | Torque: 0.00
Frame 1000 | Energy: 100.00 | RPE: 0.0002 | Torque: 0.00
Episode ended. Survived 1000 frames. Energy: 100.00
Frame 100 | Energy: 100.00 | RPE: 0.0047 | Torque: 0.00
Frame 200 | Energy: 100.00 | RPE: -0.0005 | Torque: 0.00
Frame 300 | Energy: 100.00 | RPE: -0.0000 | Torque: 0.00
Frame 400 | Energy: 100.00 | RPE: -0.0000 | Torque: 0.00
Frame 500 | Energy: 100.00 | RPE: -0.0000 | Torque: 0.00
Frame 600 | Energy: 100.00 | RPE: -0.0000 | Torque: 0.00
Frame 700 | Energy: 100.00 | RPE: -0.0000 | Torque: 0.00
Frame 800 | Energy: 100.00 | RPE: -0.0000 | Torque: 0.00
Frame 900 | Energy: 100.00 | RPE: -0.0000 | Torque: 0.00
Frame 1000 | Energy: 100.00 | RPE: -0.0000 | Torque: 0.00
Episode ended. Survived 1000 frames. Energy: 100.00
Frame 100 | Energy: 100.00 | RPE: -0.0001 | Torque: 0.00
Frame 200 | Energy: 100.00 | RPE: 0.0000 | Torque: 0.00
Frame 300 | Energy: 100.00 | RPE: 0.0000 | Torque: 0.00
Frame 400 | Energy: 100.00 | RPE: -0.0000 | Torque: 0.00
Frame 500 | Energy: 100.00 | RPE: -0.0000 | Torque: 0.00
Frame 600 | Energy: 100.00 | RPE: -0.0000 | Torque: 0.00
Frame 700 | Energy: 100.00 | RPE: -0.0000 | Torque: 0.00
Frame 800 | Energy: 100.00 | RPE: -0.0000 | Torque: 0.00
Frame 900 | Energy: 100.00 | RPE: -0.0000 | Torque: 0.00
Frame 1000 | Energy: 100.00 | RPE: -0.0000 | Torque: 0.00
Episode ended. Survived 1000 frames. Energy: 100.00
Frame 100 | Energy: 100.00 | RPE: 0.0209 | Torque: 0.00
Frame 200 | Energy: 100.00 | RPE: -0.1454 | Torque: 0.09
Frame 300 | Energy: 100.00 | RPE: 0.0013 | Torque: 0.00
Frame 400 | Energy: 100.00 | RPE: 0.0000 | Torque: 0.00
Frame 500 | Energy: 100.00 | RPE: 0.0000 | Torque: 0.00
Frame 600 | Energy: 100.00 | RPE: 0.0000 | Torque: 0.00
Frame 700 | Energy: 100.00 | RPE: -0.0000 | Torque: 0.00
Frame 800 | Energy: 100.00 | RPE: -0.0000 | Torque: 0.00
Frame 900 | Energy: 100.00 | RPE: 0.0002 | Torque: 0.00
Frame 1000 | Energy: 100.00 | RPE: -0.0026 | Torque: 0.00
Episode ended. Survived 1000 frames. Energy: 100.00
Frame 100 | Energy: 100.00 | RPE: -0.0116 | Torque: 0.00
Frame 200 | Energy: 100.00 | RPE: 0.0006 | Torque: 0.00
Frame 300 | Energy: 100.00 | RPE: -0.0044 | Torque: 0.00
Frame 400 | Energy: 100.00 | RPE: 0.0225 | Torque: 0.00
Frame 500 | Energy: 100.00 | RPE: 0.0000 | Torque: 0.00
Frame 600 | Energy: 100.00 | RPE: 0.0000 | Torque: 0.00
Frame 700 | Energy: 100.00 | RPE: -0.0000 | Torque: 0.00
Frame 800 | Energy: 100.00 | RPE: -0.0000 | Torque: 0.00
Frame 900 | Energy: 100.00 | RPE: -0.0000 | Torque: 0.00
Frame 1000 | Energy: 100.00 | RPE: -0.0000 | Torque: 0.00
Episode ended. Survived 1000 frames. Energy: 100.00
Frame 100 | Energy: 100.00 | RPE: 0.0046 | Torque: 0.00
Frame 200 | Energy: 100.00 | RPE: -0.0085 | Torque: 0.00
Frame 300 | Energy: 100.00 | RPE: -0.0000 | Torque: 0.00
Frame 400 | Energy: 100.00 | RPE: -0.0000 | Torque: 0.00
Frame 500 | Energy: 100.00 | RPE: 0.0000 | Torque: 0.00
Frame 600 | Energy: 100.00 | RPE: 0.0000 | Torque: 0.00
Frame 700 | Energy: 100.00 | RPE: 0.0000 | Torque: 0.00
Frame 800 | Energy: 100.00 | RPE: 0.0000 | Torque: 0.00
Frame 900 | Energy: 100.00 | RPE: 0.0000 | Torque: 0.00
Frame 100 | Energy: 100.00 | RPE: 0.0087 | Torque: 0.00
Frame 200 | Energy: 100.00 | RPE: -0.0329 | Torque: 0.00
Frame 300 | Energy: 100.00 | RPE: -0.0001 | Torque: 0.00
Frame 400 | Energy: 100.00 | RPE: -0.0020 | Torque: 0.00
Frame 500 | Energy: 100.00 | RPE: 0.0643 | Torque: 0.00
Frame 600 | Energy: 100.00 | RPE: -0.0207 | Torque: 0.00
Frame 700 | Energy: 100.00 | RPE: -0.0006 | Torque: 0.00
Frame 800 | Energy: 100.00 | RPE: -0.0002 | Torque: 0.00
Frame 900 | Energy: 100.00 | RPE: 0.0002 | Torque: 0.00
Episode ended. Survived 999 frames. Energy: 100.00
Frame 100 | Energy: 100.00 | RPE: 0.0008 | Torque: 0.00
Frame 200 | Energy: 100.00 | RPE: 0.0000 | Torque: 0.00
Frame 300 | Energy: 100.00 | RPE: 0.0000 | Torque: 0.00
Frame 400 | Energy: 100.00 | RPE: 0.0000 | Torque: 0.00
Frame 500 | Energy: 100.00 | RPE: 0.0000 | Torque: 0.00
Frame 600 | Energy: 100.00 | RPE: 0.0000 | Torque: 0.00
Frame 700 | Energy: 100.00 | RPE: 0.0000 | Torque: 0.00
