=== STARTING VISUALIZER ===
Frame 0 | Cart X: 0.04 | Theta: 0.04
Frame 60 | Cart X: -0.01 | Theta: 0.01
Frame 120 | Cart X: -0.02 | Theta: 0.03
Frame 180 | Cart X: -0.07 | Theta: 0.11
Frame 240 | Cart X: -0.04 | Theta: 0.10
Frame 300 | Cart X: -0.02 | Theta: -0.01
Frame 360 | Cart X: 0.03 | Theta: -0.01
Frame 420 | Cart X: -0.00 | Theta: 0.01
Frame 480 | Cart X: -0.05 | Theta: 0.06
Frame 540 | Cart X: -0.04 | Theta: 0.10
Frame 600 | Cart X: -0.08 | Theta: 0.12
Frame 660 | Cart X: -0.02 | Theta: 0.05
Frame 720 | Cart X: -0.03 | Theta: 0.01
Frame 780 | Cart X: -0.06 | Theta: 0.08
Frame 840 | Cart X: -0.04 | Theta: 0.02
Frame 900 | Cart X: -0.09 | Theta: 0.12
Frame 960 | Cart X: -0.07 | Theta: 0.09
Frame 1020 | Cart X: 0.01 | Theta: 0.01
Frame 1080 | Cart X: -0.02 | Theta: 0.01
Frame 1140 | Cart X: -0.13 | Theta: 0.14
Frame 1200 | Cart X: 0.01 | Theta: 0.06
Frame 1260 | Cart X: -0.05 | Theta: -0.04
Frame 1320 | Cart X: -0.00 | Theta: 0.08
Frame 1380 | Cart X: -0.12 | Theta: 0.15
Frame 1440 | Cart X: -0.02 | Theta: 0.08
Frame 1500 | Cart X: -0.02 | Theta: -0.02
Frame 1560 | Cart X: -0.04 | Theta: 0.03
Frame 1620 | Cart X: -0.11 | Theta: 0.19
Frame 1680 | Cart X: 0.00 | Theta: 0.11
Frame 1740 | Cart X: -0.07 | Theta: 0.18
Frame 1800 | Cart X: -0.02 | Theta: 0.07
Frame 1860 | Cart X: 0.01 | Theta: 0.03
Frame 1920 | Cart X: -0.11 | Theta: 0.13
Frame 1980 | Cart X: 0.03 | Theta: -0.04
Frame 2040 | Cart X: -0.01 | Theta: 0.05
Frame 2100 | Cart X: -0.07 | Theta: 0.04
Frame 2160 | Cart X: -0.12 | Theta: 0.16
Frame 2220 | Cart X: -0.02 | Theta: 0.08
Frame 2280 | Cart X: -0.15 | Theta: 0.20
Frame 2340 | Cart X: -0.05 | Theta: 0.01
Frame 2400 | Cart X: -0.06 | Theta: 0.20
Frame 2460 | Cart X: 0.01 | Theta: 0.06
Frame 2520 | Cart X: -0.01 | Theta: 0.06
Frame 2580 | Cart X: -0.04 | Theta: 0.01
Frame 2640 | Cart X: -0.09 | Theta: 0.04
Frame 2700 | Cart X: -0.08 | Theta: 0.14
Frame 2760 | Cart X: -0.06 | Theta: 0.13
Frame 2820 | Cart X: 0.02 | Theta: 0.01
Frame 2880 | Cart X: 0.04 | Theta: 0.04
Frame 2940 | Cart X: -0.10 | Theta: 0.13
Frame 3000 | Cart X: -0.14 | Theta: 0.20
Frame 3060 | Cart X: -0.03 | Theta: -0.04
Frame 3120 | Cart X: -0.10 | Theta: 0.21
Frame 3180 | Cart X: -0.05 | Theta: 0.11
